Debt Outstanding Amount,Calendar Year
16.19,1930
16.8,1931
19.49,1932
22.54,1933
27.05,1934
28.7,1935
33.78,1936
36.42,1937
37.16,1938
40.44,1939
42.97,1940
48.96,1941
72.42,1942
136.7,1943
201.0,1944
258.68,1945
269.42,1946
258.29,1947
252.29,1948
252.77,1949
257.36,1950
255.22,1951
259.11,1952
266.07,1953
271.26,1954
274.37,1955
272.75,1956
270.53,1957
276.34,1958
284.71,1959
286.33,1960
288.97,1961
298.2,1962
305.86,1963
311.71,1964
317.27,1965
319.91,1966
326.22,1967
347.58,1968
353.72,1969
370.92,1970
398.13,1971
427.26,1972
458.14,1973
475.06,1974
533.19,1975
620.43,1976
698.84,1977
771.54,1978
826.52,1979
907.7,1980
997.86,1981
1142.03,1982
1377.21,1983
1572.27,1984
1823.1,1985
2125.3,1986
2350.28,1987
2602.34,1988
2857.43,1989
3233.31,1990
3665.3,1991
4064.62,1992
4411.49,1993
4692.75,1994
4973.98,1995
5224.81,1996
5413.15,1997
5526.19,1998
5656.27,1999
5674.18,2000
5807.46,2001
6228.24,2002
6783.23,2003
7379.05,2004
7932.71,2005
8506.97,2006
9007.65,2007
10024.72,2008
11909.83,2009
13561.62,2010
14790.34,2011
16066.24,2012
16738.18,2013
17824.07,2014
18150.62,2015
19573.44,2016
20244.9,2017
21516.06,2018
22719.4,2019
26945.39,2020
28428.92,2021
30928.91,2022
33167.33,2023
